feature,split,threshold,AUC_mean,AUC_std
ESM-2 BW,random_cv,,0.6190093288777498,0.03664159856033282
ESM-2 BW,subfamily_cv,,0.4997408424908425,0.03079895455114888
ESM-2 BW,seqcluster_0.6,0.6,0.5932755405436856,0.08045299426553436
ESM-2 BW,seqcluster_0.5,0.5,0.5671056112503481,0.05478889601212402
ESM-2 BW,seqcluster_0.4,0.4,0.5976876149543493,0.02676587741191939
ESM-2 BW,seqcluster_0.3,0.3,0.6168576998050682,0.022470148509912385
ESM-2 BW,seqcluster_0.2,0.2,0.5760417651345071,0.07307282418439344
BW-site physchem,random_cv,,0.5764445836814257,0.049472383715638946
BW-site physchem,subfamily_cv,,0.5394316239316239,0.10524198390072532
BW-site physchem,seqcluster_0.6,0.6,0.5749194074294881,0.0830499353720415
BW-site physchem,seqcluster_0.5,0.5,0.5967293233082707,0.062378708448780976
BW-site physchem,seqcluster_0.4,0.4,0.5944015872565569,0.04641033749582956
BW-site physchem,seqcluster_0.3,0.3,0.6204856934001671,0.027244033253275863
BW-site physchem,seqcluster_0.2,0.2,0.5902079394619717,0.07377183549232233
