subfamily,n_test,n_train,loss,Gs_f1,Gs_acc,Gi/o_f1,Gi/o_acc,Gq/11_f1,Gq/11_acc,G12/13_f1,G12/13_acc,min_acc
001_001_001_001,3,736,0.34776541590690613,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_001_001_002,3,736,0.34772586822509766,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_001_001_003,3,736,0.3471524715423584,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_001_001_005,3,736,0.34730610251426697,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_001_001_006,3,736,0.3550143539905548,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_001_001_007,3,736,0.7649149894714355,0.0,0.9999999966666667,0.0,0.9999999966666667,0.0,0.0,0.0,0.9999999966666667,0.0
001_001_001_008,3,736,0.3507557511329651,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_001_001_009,3,736,0.5374190807342529,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_001_001_010,3,736,0.34808969497680664,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_001_001_012,3,736,0.35833829641342163,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_001_001_013,3,736,1.0642735958099365,0.0,0.0,0.0,0.0,0.0,0.9999999966666667,0.0,0.9999999966666667,0.0
001_006_001_001,5,734,0.27621525654103607,0.0,0.9999999980000001,0.9999999930000001,0.9999999980000001,0.0,0.9999999980000001,0.0,0.9999999980000001,0.9999999980000001
001_006_001_002,3,736,0.34837108850479126,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_006_001_003,5,734,0.2775287921540439,0.9999999930000001,0.9999999980000001,0.0,0.9999999980000001,0.0,0.9999999980000001,0.0,0.9999999980000001,0.9999999980000001
001_006_001_004,4,735,0.551105260848999,0.0,0.9999999975,0.9999999925,0.9999999975,0.0,0.9999999975,0.0,0.9999999975,0.9999999975
001_003_002_019,3,736,0.215101957321167,0.0,0.9999999966666667,0.0,0.6666666644444444,0.0,0.9999999966666667,0.0,0.9999999966666667,0.6666666644444444
001_003_002_020,3,736,0.3486221730709076,0.0,0.9999999966666667,0.0,0.0,0.0,0.9999999966666667,0.0,0.9999999966666667,0.0
001_003_002_021,3,736,0.3471166491508484,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_003_002_022,3,736,0.4093932509422302,0.0,0.9999999966666667,0.0,0.0,0.0,0.9999999966666667,0.0,0.9999999966666667,0.0
001_001_002_001,3,736,0.352336049079895,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_001_002_002,5,734,0.2751904814504087,0.0,0.9999999980000001,0.9999999930000001,0.9999999980000001,0.0,0.9999999980000001,0.0,0.9999999980000001,0.9999999980000001
001_001_002_003,5,734,0.2783343493938446,0.0,0.9999999980000001,0.0,0.9999999980000001,0.9999999930000001,0.9999999980000001,0.0,0.9999999980000001,0.9999999980000001
001_001_002_004,3,736,0.3507609963417053,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_001_002_005,3,736,0.3481690585613251,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_002_014_002,3,736,0.34769535064697266,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_001_003_001,4,735,0.5547600984573364,0.0,0.9999999975,0.0,0.9999999975,0.9999999925,0.9999999975,0.0,0.9999999975,0.9999999975
001_001_003_002,3,736,0.3504028022289276,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_001_003_003,3,736,0.8078135848045349,0.0,0.9999999966666667,0.0,0.9999999966666667,0.0,0.0,0.0,0.9999999966666667,0.0
001_001_003_004,5,734,0.27499818257638253,0.0,0.9999999980000001,0.9999999930000001,0.9999999980000001,0.0,0.9999999980000001,0.0,0.9999999980000001,0.9999999980000001
001_001_003_005,4,735,0.5695632100105286,0.0,0.9999999975,0.9999999925,0.9999999975,0.0,0.9999999975,0.0,0.9999999975,0.9999999975
001_001_003_006,4,735,0.5497266054153442,0.0,0.9999999975,0.9999999925,0.9999999975,0.0,0.9999999975,0.0,0.9999999975,0.9999999975
001_001_003_007,4,735,0.5498895645141602,0.9999999925,0.9999999975,0.0,0.9999999975,0.0,0.9999999975,0.0,0.9999999975,0.9999999975
001_001_003_008,4,735,0.5500521659851074,0.9999999925,0.9999999975,0.0,0.9999999975,0.0,0.9999999975,0.0,0.9999999975,0.9999999975
001_001_003_009,3,736,0.3472937345504761,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_002_001_001,3,736,0.7988121509552002,0.0,0.9999999966666667,0.0,0.9999999966666667,0.0,0.0,0.0,0.9999999966666667,0.0
001_002_001_002,3,736,0.44975411891937256,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_002_002_001,3,736,0.37632715702056885,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_002_004_001,3,736,0.3974790573120117,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_002_004_002,3,736,0.7936344146728516,0.0,0.9999999966666667,0.0,0.0,0.0,0.0,0.0,0.9999999966666667,0.0
001_002_003_003,3,736,0.34709519147872925,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_002_006_001,4,735,0.7924666404724121,0.0,0.9999999975,0.9999999925,0.9999999975,0.9999999925,0.9999999975,0.0,0.9999999975,0.9999999975
001_002_006_002,4,735,0.8433035612106323,0.0,0.9999999975,0.9999999925,0.9999999975,0.3999999952,0.249999999375,0.0,0.9999999975,0.249999999375
001_002_006_003,3,736,0.38691726326942444,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
002_001_001_001,3,736,0.8618930578231812,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.0,0.0,0.9999999966666667,0.0
002_001_001_005,5,734,0.27915129135362804,0.9999999930000001,0.9999999980000001,0.0,0.9999999980000001,0.0,0.9999999980000001,0.0,0.9999999980000001,0.9999999980000001
004_001_001_001,4,735,0.5518500804901123,0.0,0.9999999975,0.0,0.9999999975,0.9999999925,0.9999999975,0.0,0.9999999975,0.9999999975
001_002_005_001,3,736,0.3472645878791809,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_003_002_002,3,736,0.347370982170105,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_003_002_003,3,736,0.34790247678756714,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
